ClientID,CookstoveType,StoveNumber,SigningDate,ContractCheckStatus,DoubleContractCheck,ClientNumberCheck
C999355095,Improved cookstove,DOD/K07457,18/11/2025,Approved,Ok,Ok
C001857374,Improved cookstove,DOD/K07373,18/11/2025,Approved,Ok,Ok
C984813142,Improved cookstove,DOD/K07499,18/11/2025,Approved,Ok,Ok
C992924651,Improved cookstove,DOD/K07122,18/11/2025,Approved,Ok,"1. Yes, all fields are correctly filled"
C001857908,Improved cookstove,DOD/K07197,18/11/2025,Approved,Ok,Ok
C984713039,Improved cookstove,DOD/K07438,18/11/2025,Approved,Ok,Ok
C984065759,Improved cookstove,DOD/K07142,18/11/2025,Approved,Ok,Ok
C984735515,Improved cookstove,DOD/K06461,18/11/2025,Approved,Ok,Ok
C001875090,Improved cookstove,DOD/K07534,18/11/2025,Approved,Ok,Ok
C984067300,Improved cookstove,DOD/K07179,18/11/2025,Approved,Ok,Ok
C002163324,Improved cookstove,DOD/K07618,18/11/2025,Approved,Ok,Ok
C984065962,Improved cookstove,DOD/K08012,18/11/2025,Approved,Ok,Ok
C984065034,Improved cookstove,DOD/K07464,18/11/2025,Approved,Ok,Ok
C002159611,Improved cookstove,DOD/K07222,18/11/2025,Approved,Ok,Ok
C984736399,Improved cookstove,DOD/K07300,18/11/2025,Approved,Ok,Ok
C984734711,Improved cookstove,DOD/K07387,18/11/2025,Approved,Ok,Ok
C984711980,Improved cookstove,DOD/K05531,18/11/2025,CheckNotPassed,Ok,2 Wrong
C105578849,Improved cookstove,DOD/K06568,18/11/2025,Approved,Ok,Ok
C105493282,Improved cookstove,DOD/K07846,18/11/2025,CheckNotPassed,Ok,2 Wrong
C053717098,Improved cookstove,DOD/K07574,18/11/2025,Approved,Ok,Ok
C105491285,Improved cookstove,DOD/K05143,18/11/2025,CheckNotPassed,Ok,2 Wrong
C053721775,Improved cookstove,DOD/K07345,18/11/2025,Approved,Ok,Ok
C046626561,Improved cookstove,DOD/K05187,18/11/2025,Approved,Ok,Ok
C105572280,Improved cookstove,DOD/K07268,18/11/2025,Approved,Ok,Ok
C105582318,Improved cookstove,DOD/K07169,18/11/2025,Approved,Ok,Ok
C053716692,Improved cookstove,DOD/K05067,18/11/2025,Approved,Ok,Ok
C046623403,Improved cookstove,DOD/K07198,18/11/2025,Approved,Ok,Ok
C105559053,Improved cookstove,DOD/K07573,18/11/2025,Approved,Ok,Ok
C053574690,Improved cookstove,DOD/K07357,18/11/2025,Approved,Ok,Ok
C105566190,Improved cookstove,DOD/K07278,18/11/2025,Approved,Ok,Ok
C050990538,Improved cookstove,DOD/K05566,18/11/2025,Approved,Ok,Ok
C096943381,Improved cookstove,DOD/K07411,18/11/2025,Approved,Ok,Ok
C105493205,Improved cookstove,DOD/K07529,19/11/2025,Approved,Ok,Ok
C105589141,Improved cookstove,DOD/K07562,19/11/2025,Approved,Ok,Ok
C053640740,Improved cookstove,DOD/K07146,19/11/2025,Approved,Ok,Ok
C053717904,Improved cookstove,DOD/K05190,19/11/2025,Approved,Ok,Ok
C053640377,Improved cookstove,DOD/K07186,19/11/2025,Approved,Ok,Ok
C051004460,Improved cookstove,DOD/K05913,19/11/2025,Approved,Ok,Ok
C105493025,Improved cookstove,DOD/K07148,19/11/2025,Approved,Ok,Ok
C051007012,Improved cookstove,DOD/K07105,19/11/2025,Approved,Ok,Ok
C051056356,Improved cookstove,DOD/K07611,19/11/2025,Approved,Ok,Ok
C053642180,Improved cookstove,DOD/K07223,19/11/2025,Approved,Ok,Ok
C051008654,Improved cookstove,DOD/K05208,19/11/2025,Approved,Ok,Ok
C105577441,Improved cookstove,DOD/K05643,19/11/2025,Approved,Ok,Ok
C105492465,Improved cookstove,DOD/K07593,19/11/2025,Approved,Ok,Ok
C050986847,Improved cookstove,DOD/K07158,19/11/2025,Approved,Ok,Ok
C105561282,Improved cookstove,DOD/K05025,19/11/2025,Approved,Ok,Ok
C051058022,Improved cookstove,DOD/K05118,19/11/2025,Approved,Ok,Ok
C105465571,Improved cookstove,DOD/K05823,19/11/2025,Approved,Ok,Ok
C105559267,Improved cookstove,DOD/K07539,19/11/2025,Approved,Ok,Ok
